Region,Country,ISO Code,RE or Non-RE,Group Technology,Technology,Poducer Type,Year,Electricity Installed Capacity (MW)
Europe,Ireland,IRL,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,0
Europe,Ireland,IRL,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,0
Europe,Ireland,IRL,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,0
Europe,Ireland,IRL,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,0
Europe,Ireland,IRL,Total Renewable,Wind energy,Onshore wind energy,On-grid,2016,2761
Europe,Ireland,IRL,Total Renewable,Wind energy,Onshore wind energy,On-grid,2017,3293
Europe,Ireland,IRL,Total Renewable,Wind energy,Onshore wind energy,On-grid,2018,3651
Europe,Ireland,IRL,Total Renewable,Wind energy,Onshore wind energy,On-grid,2019,4135
Europe,Ireland,IRL,Total Renewable,Wind energy,Onshore wind energy,On-grid,2020,4275
Europe,Ireland,IRL,Total Renewable,Wind energy,Offshore wind energy,On-grid,2016,25
Europe,Ireland,IRL,Total Renewable,Wind energy,Offshore wind energy,On-grid,2017,25
Europe,Ireland,IRL,Total Renewable,Wind energy,Offshore wind energy,On-grid,2018,25
Europe,Ireland,IRL,Total Renewable,Wind energy,Offshore wind energy,On-grid,2019,25
Europe,Ireland,IRL,Total Renewable,Wind energy,Offshore wind energy,On-grid,2020,25
Europe,Italy,ITA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,58220
Europe,Italy,ITA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,57402
Europe,Italy,ITA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,57345
Europe,Italy,ITA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,57406
Europe,Italy,ITA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,56006
Europe,Italy,ITA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2016,771
Europe,Italy,ITA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2017,776
Europe,Italy,ITA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2018,781
Europe,Italy,ITA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2019,722
Europe,Italy,ITA,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2020,722
Europe,Italy,ITA,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2016,3982
Europe,Italy,ITA,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2017,3940
Europe,Italy,ITA,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2018,3940
Europe,Italy,ITA,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2019,3940
Europe,Italy,ITA,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2020,3940
Europe,Italy,ITA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2016,685
